305171.013843088,305170.123259320,2.657400000,-17.165300000,-2.422700000,15.975800000,-17.389800000,-2.517900000
305171.014008974,305170.816495766,2.893900000,-17.504300000,-2.407800000,5.794800000,-17.411600000,-2.441100000
305171.014059664,305170.123199414,2.835000000,-17.668500000,-1.749300000,16.158700000,-17.924800000,-1.744000000
305171.014234766,305170.520339798,3.094400000,-16.531900000,-2.823400000,10.643700000,-16.698500000,-2.916000000
305171.014239374,305170.222299366,3.554500000,-18.308800000,-3.719900000,15.384200000,-18.592600000,-3.650800000
305171.014294672,305170.321610182,3.674000000,-18.452900000,-3.744200000,14.229100000,-18.706000000,-3.764400000
305171.015165480,305170.817431088,4.275400000,-18.651600000,-1.587900000,7.246000000,-18.696800000,-1.655200000
305171.015241510,305170.322029406,3.973100000,-18.862800000,0.394600000,14.366500000,-19.138800000,0.399700000
305171.015280680,305170.817490990,4.811700000,-19.630300000,-2.279300000,7.865800000,-19.681000000,-2.413100000
305171.015296808,305170.619683872,3.801700000,-18.021800000,0.366800000,9.741000000,-18.152000000,0.337800000
305171.015322150,305170.817421872,4.615400000,-20.580300000,-0.157100000,7.593600000,-20.565000000,-0.252300000
305171.015407400,305170.817693742,4.193300000,-18.753800000,0.486900000,7.163500000,-18.815500000,0.467600000
305171.015437350,305170.817647664,4.455100000,-18.799600000,-0.857300000,7.433500000,-18.854500000,-0.915800000
305171.015543334,305170.817864240,4.442700000,-18.414400000,-0.144100000,7.413100000,-18.468500000,-0.177600000
305171.015552550,305170.520496472,4.983400000,-19.643800000,-1.499000000,12.424100000,-19.724100000,-1.660200000
305171.015718440,305170.421848104,4.723500000,-17.857400000,-1.364100000,13.629100000,-18.138600000,-1.263900000
305171.015764518,305170.520819032,4.639100000,-18.694800000,0.019500000,12.059100000,-18.869800000,-0.008100000
305171.015769126,305170.223280766,4.674900000,-18.112500000,-0.838700000,16.539300000,-18.403200000,-0.902600000
305171.017775702,305170.721564440,5.307100000,-14.560300000,1.801000000,9.864400000,-14.616800000,1.802800000
305171.018324054,305170.623413734,5.017500000,-12.676100000,2.074600000,11.018900000,-12.842400000,2.071600000
305171.020699272,305170.723322288,10.699400000,-16.821500000,-0.785900000,15.142300000,-16.824600000,-0.888200000
305171.020991878,305170.822836856,10.129800000,-16.216200000,1.898900000,13.090500000,-16.189100000,1.869700000
305171.051548136,305170.142478832,5.217600000,7.292600000,2.342900000,18.947700000,6.898600000,2.637900000
305171.051995008,305170.950254984,5.402300000,8.004300000,2.197900000,6.943200000,7.964100000,2.247300000
305171.059367286,305170.448717272,1.783900000,9.967100000,-0.206700000,11.034000000,9.745600000,0.035500000
305171.060118286,305170.348119926,0.997500000,10.292200000,1.487100000,11.780600000,10.007500000,1.763600000
305171.061081256,305170.958809110,0.852900000,11.152300000,-0.417500000,2.426200000,11.108600000,-0.374100000
305171.062350758,305170.858865998,0.504000000,13.242300000,-3.788500000,3.592800000,13.162600000,-3.582300000
305171.062722600,305170.452936584,-0.932100000,13.367400000,1.235800000,8.305200000,13.138700000,1.511200000
305171.065708376,305170.762469432,-5.504500000,21.109800000,1.526900000,-1.014800000,21.061800000,1.717200000
305171.101208600,305170.507117184,-14.569200000,-17.750900000,-0.499600000,-5.678800000,-17.918400000,-0.523800000
305171.102590894,305170.805544686,-12.439600000,-18.214800000,-0.225300000,-8.000500000,-18.303200000,-0.252500000
305171.103475630,305170.411403902,-11.016300000,-18.147800000,-0.012900000,-0.664000000,-18.361800000,-0.036700000
305171.103795782,305170.014708190,-11.348400000,-21.436400000,-4.059700000,4.896900000,-21.730700000,-4.128500000
305171.104132166,305170.312477856,-10.035800000,-20.331300000,-4.532500000,1.784500000,-20.552300000,-4.562400000
305171.106511992,305170.711707760,-6.525600000,-17.076400000,1.191400000,-0.583400000,-17.255900000,1.173300000
305171.106516600,305170.514143862,-6.534900000,-17.572400000,0.658000000,2.351300000,-17.798400000,0.658000000
305171.106622584,305170.711928944,-6.276000000,-16.763900000,1.196900000,-0.341100000,-16.917100000,1.189100000
305171.106631800,305170.909173886,-6.161600000,-17.388200000,-0.023600000,-3.199700000,-17.470500000,-0.028300000
305171.106756216,305170.119103214,-5.620200000,-17.198900000,-1.857500000,9.153300000,-17.538200000,-1.863700000
305171.107087992,305170.119711472,-5.063800000,-16.708400000,-1.707300000,9.711000000,-17.054900000,-1.701800000
305171.107134070,305170.909676160,-5.560900000,-17.963600000,-0.496900000,-2.600100000,-18.035200000,-0.501800000
305171.107394424,305170.117061080,-6.031900000,-22.714300000,-3.603800000,8.757600000,-23.067700000,-3.667700000
305171.107504912,305170.909604734,-5.615300000,-22.000600000,-3.455000000,-2.579900000,-22.088400000,-3.503100000
305171.108555534,305170.910545664,-4.353000000,-22.725600000,-3.137900000,-1.336700000,-22.651700000,-3.247400000
305171.108732944,305170.911441816,-3.701400000,-17.014200000,0.481400000,-0.713200000,-17.044000000,0.500100000
305171.108937896,305170.910872832,-3.923200000,-22.654800000,-2.234500000,-1.058000000,-22.681200000,-2.360900000
305171.109615272,305170.911826582,-2.216900000,-20.600500000,-4.040000000,0.750000000,-20.649900000,-4.061100000
305171.109661350,305170.911927958,-2.439500000,-20.293500000,-2.545900000,0.547700000,-20.360700000,-2.576600000
305171.109737384,305170.219234256,-2.824800000,-20.249500000,-0.435200000,10.538000000,-20.565000000,-0.440100000
305171.109797286,305170.022500696,-2.089300000,-16.968400000,-1.071100000,14.221700000,-17.371200000,-1.080400000
305171.110232638,305170.615397744,-1.118200000,-21.739600000,-5.526300000,6.192000000,-21.828900000,-5.567300000
305171.110958400,305170.715843126,-1.019700000,-18.438400000,-0.799200000,4.924300000,-18.604600000,-0.733600000
305171.111043648,305170.518782398,-0.530900000,-16.673800000,-1.882900000,8.351900000,-16.864800000,-1.897100000
305171.111108158,305170.913706542,-0.300300000,-17.250300000,-3.058700000,2.658500000,-17.315100000,-3.067600000
